INSTRUCTIONS: Fill in game schedule information below. Required fields are marked with *.,,,
Delete these instruction lines (1-2) before uploading OR leave them - the system will skip them automatically.,,,
Date*,Time*,Home Team*,Away Team*
5/24/2026,8:30 PM,Lot Lizards,Mavericks
5/24/2026,9:45 PM,Puck'n Bucks,RW&B
5/31/2026,8:30 PM,RW&B,Lot Lizards
5/31/2026,9:45 PM,Mavericks,Puck'n Bucks
6/7/2026,8:30 PM,Puck'n Bucks,Lot Lizards
6/7/2026,9:45 PM,RW&B,Mavericks
6/14/2026,8:30 PM,Mavericks,Lot Lizards
6/14/2026,9:45 PM,Puck'n Bucks,RW&B
6/21/2026,8:30 PM,Lot Lizards,RW&B
6/21/2026,9:45 PM,Mavericks,Puck'n Bucks
